输入商品名称,匹配的SPU,匹配的SKU,期望值
Vivo Y500 5G 12+512演示机冰川蓝,vivo Y500,vivo Y500 全网通5G 12GB+512GB 冰川蓝,
Vivo Y500 5G 12+512演示机龙晶紫,vivo Y500,vivo Y500 全网通5G 12GB+512GB 龙晶紫,
Vivo X300 12+512演示机自在蓝,vivo X300,vivo X300 全网通5G 12GB+512GB 自在蓝,
Vivo X300 12+512演示机幸运彩,vivo X300,vivo X300 全网通5G 12GB+512GB 幸运彩,
Vivo X300Pro 16+512演示机旷野棕,vivo X300 Pro,vivo X300 Pro 全网通5G 16GB+512GB 旷野棕,
Vivo X300Pro 16+512演示机简单白,vivo X300 Pro,vivo X300 Pro 全网通5G 16GB+512GB 简单白,
Vivo Watch GT2 蓝牙版演示机原点黑,-,-,
Vivo Watch GT2 蓝牙版演示机空格白,-,-,
VIVO PAD5E (PA2535)8+256演示机灰常好,vivo Pad5e 12.1英寸,vivo Pad5e 12.1英寸 WiFi版 8GB+256GB 灰常好,
Vivo Watch5 蓝牙版演示机辰夜黑,vivo WATCH 5 蓝牙版,vivo WATCH 5 蓝牙版 软胶 辰夜黑,
VIVO Y500pro 5G(12+512)演示机柔粉,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+512GB 柔粉,
VIVO Y500pro 5G(12+512)演示机祥云金,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+512GB 祥云金,
Vivo(X300PRO)摄影套装（蔡司2.35x长焦增距镜+专业摄影手柄+转接环）演示机银色,-,-,
Vivo S50PROmini 5G(12+512)演示机灵感紫,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 12GB+512GB 灵感紫,
Vivo S50PROmini 5G(12+512)演示机告白,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 12GB+512GB 告白,
Vivo S50 5G(12+512)演示机告白,vivo S50,vivo S50 全网通5G 12GB+512GB 告白,
Vivo S50 5G(12+512)演示机悠悠蓝,vivo S50,vivo S50 全网通5G 12GB+512GB 悠悠蓝,
华为智慧屏v55i-A(4G+64G)演示机星际黑,-,-,
优品二手机苹果14Pro 256G黑,檀木健发梳,-,
华为智慧屏SPRO65"120HZ（HD65KANS)3+32G演示机星际黑,-,-,
优品二手机苹果14Promax 128银,檀木健发梳,-,
2021款华为智慧屏v75演示机星际黑,-,-,
华为智慧屏SPRO55"120HZ（HD55KANS)3+16G演示机星际黑,-,-,
华为智慧屏SE55"畅连通话版（HD55DESZ)2+16G演示机,檀木健发梳,-,
华为智慧屏SE55"畅连通话版（HD55DESZ)2+16G演示机星际黑,-,-,
华为智慧屏SPRO75"120HZ（HD75KANS)3+32G演示机星际黑,-,-,
2022款华为智慧屏V65(55051101)6+64演示机星际黑,-,-,
2023款华为智慧屏V75(HD75FRUB)6+64演示机星际黑,-,-,
华为智慧屏S3PRO65"（HD65AJMS)4+64GS演示机曜石灰,-,-,
华为智慧屏S3PRO65"（HD65AJMS)4+64GS演示机,檀木健发梳,-,
华为智慧屏S3PRO75"（HD75AJMS)4+64GS演示机曜石灰,-,-,
华为智慧屏S3PRO86"（HD86AJMS)4+64G演示机曜石灰,-,-,
华为智慧屏V5PRO75"（HD75ARKA) 6+128演示机深空灰,-,-,
华为智慧屏V5 75" (HD75ARKB)6+64G演示机深空灰样,华为智慧屏 V5 85英寸,华为智慧屏 V5 85英寸 6GB+64GB 深空灰,
2024款华为智慧屏S5PRO75"（HD75AJMN)4+128G演示机曜石灰,-,-,
2024款华为智慧屏S5PRO65"（HD65AJMN)4+128G演示机曜石灰,-,-,
华为智慧屏Vision SE3 55"（HD55KUNA)2+32G演示机星际黑,-,-,
2025款华为智慧屏S6 85"（HD85KULX)4+128G演示机星空灰,华为智慧屏 S6 85英寸,华为智慧屏 S6 85英寸 4GB+128GB 星空灰,
2025款华为智慧屏S6 75"（HD75KULX)4+128G演示机星空灰,华为智慧屏 S6 85英寸,华为智慧屏 S6 85英寸 4GB+128GB 星空灰,
2025款华为智慧屏S6 65"（HD65KULX)4+128G演示机星空灰,华为智慧屏 S6 85英寸,华为智慧屏 S6 85英寸 4GB+128GB 星空灰,
2025款华为智慧屏MateTV Pro 75寸 （HD75EDLJ) 12+256 演示机深空灰,华为智慧屏 MateTV Pro 75英寸,华为智慧屏 MateTV Pro 75英寸 12GB+256GB 深空灰,
2025款华为智慧屏MateTV 98寸 （HD98EDLJ) 8+128演示机深空灰,-,-,
优品二手机苹果14ProMax 512金,檀木健发梳,-,
华为MatePad 10.4(BAH3-W09)4G+64G演示机贝母白,-,-,
华为MatePad 10.4(BAH3-W09)4G+64G演示机夜阑灰,-,-,
2023款华为MatePad 11.5柔光版(BTK-W00)8+128演示机海岛蓝,-,-,
2023款华为MatePad 11.5柔光版(BTK-W00)8+128演示机深空灰,-,-,
2023款华为MatePad Pro13.2（PCE-W30）12+256 演示机曜金黑,-,-,
2023款华为MatePad Pro13.2（PCE-W30）12+256 演示机晶钻白,-,-,
2024款华为MatePad SE 11英寸(AGS6-W00)8+256演示机星海蓝,华为平板 MatePad SE （AGS6-W00）11英寸,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星海蓝,
2024款华为MatePad SE 11英寸(AGS6-W00)8+256演示机天海蓝,华为平板 MatePad SE （AGS6-W00）11英寸,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星海蓝,
2024款华为MatePad SE 11英寸(AGS6-W00)8+256演示机星云灰,华为平板 MatePad SE （AGS6-W00）11英寸,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星海蓝,
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+256演示机流金,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+256演示机宣白,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,
2024款华为MatePad Pro 12.2寸(MRO-W00)12+256演示机砚黑,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,
2024款HiMatePad 11.5寸柔光版(BRO-W00)8+128演示机深空灰,檀木健发梳,-,
2025款MatepadPro 12.2寸（MRDI-W10) 柔光12+256G演示机飞天青,檀木健发梳,-,
2025款华为MatePad 鸿蒙11.5S柔光版(SLG-W10)12+256演示机羽砂紫,-,-,
2025款华为MatePad 鸿蒙11.5S柔光版(SLG-W10)12+256演示机原野绿,-,-,
2025款华为MatePad 鸿蒙Air12寸(LRT-W20)12G+256G演示机羽砂白,-,-,
2025款华为MatePad 鸿蒙Air12寸(LRT-W20)12G+256G演示机草木绿,-,-,
2025款Matepad Mini8.8寸(MLR-AL10) 12+512演示机云杉绿,-,-,
2025款Matepad Mini8.8寸柔光版(MLR-AL10) 12+512演示机雪域白,-,-,
优品二手机华为Mate30 5G 8+128紫,檀木健发梳,-,
优品二手机华为畅享10E 4+64绿,檀木健发梳,-,
华为畅享70X (BRE-AL80)8+256演示机曜金黑,-,-,
华为畅享70X (BRE-AL80)8+256演示机雪域白,-,-,
华为畅享70X (BRE-AL80)8+256演示机湖光青,-,-,
华为畅享70X活力 (BRE-AL00b)8+256演示机冰晶蓝,-,-,
华为畅享70X活力 (BRE-AL00b)8+256演示机曜金黑,-,-,
华为畅享70X活力 (BRE-AL00b)8+256演示机雪域白,-,-,
华为畅享80(JUY-AL00)8+128演示机曜金黑,-,-,
华为畅享80(JUY-AL00)8+128演示机天际白,-,-,
华为畅享80(JUY-AL00)8+128演示机天青蓝,-,-,
华为畅享80(JUY-AL00)8+512演示机原野绿,-,-,
华为Nova Flip (PSD-AL00)12+256演示机向新绿,-,-,
华为Nova Flip (PSD-AL00)12+256演示机樱语粉,-,-,
华为Nova Flip (PSD-AL00)12+256演示机零度白,-,-,
华为Nova Flip (PSD-AL00)12+256演示机星耀黑,-,-,
华为Nova13 (BLK-AL80)12+256演示机羽砂白,-,-,
华为Nova13 (BLK-AL80)12+256演示机羽纱白,-,-,
华为Nova13Pro (MRS-AL00)12+512演示机星耀黑,-,-,
华为Nova13Pro (MRS-AL00)12+512演示机羽砂白,-,-,
华为Nova13鸿蒙5 (BLK-AL80)12+256演示机星耀黑,-,-,
华为Nova13鸿蒙5 (BLK-AL80)12+256演示机羽砂白,-,-,
华为NOVA14Ultra (MRT-AL10)12+256演示机流光紫,-,-,
华为NOVA14Ultra (MRT-AL10)12+256演示机曜金黑,-,-,
华为NOVA14Ultra (MRT-AL10)12+256演示机浮光白,-,-,
华为NOVA14Ultra (MRT-AL10)12+256演示机浮光金,-,-,
华为NOVA14PRO (MIA-AL00)12+256演示机冰晶蓝,-,-,
华为NOVA14PRO (MIA-AL00)12+256演示机冰晶粉,-,-,
华为NOVA14 (TLR-AL00)12+256演示机凝霜白,-,-,
华为NOVA14 (TLR-AL00)12+256演示机冰晶蓝,-,-,
华为NOVA14 (TLR-AL00)12+256演示机羽砂黑,-,-,
华为NOVA14活力版 (TYR-AL00)12+256演示机羽砂黑,-,-,
华为NOVA14活力版 (TYR-AL00)12+256演示机凝霜白,-,-,
华为NOVA14活力版 (TYR-AL00)12+256演示机冰晶蓝,-,-,
华为MateBook E 12.6英寸（DRC-W58)I5-1130G7 8G+256G演示机星云灰,-,-,
华为MateBook 14 KLVD-WFH9 I5-1135G7（16G+512G）锐矩Xe 演示机皓月银,-,-,
2022款华为MateBookD15 BODE-WFH9 I5-1155G7 （16+512G）演示机深空灰,-,-,
2022款华为MateBookD16 RLEF-16 i5-12500H(16+512)锐炬Xe演示机深空灰,-,-,
2022款华为MateBook16S CREF-16 I7-12700H(16+512)锐炬Xe触屏演示机深空灰,-,-,
2022款华为MateBook Xpro微绒典藏版 MRGF-16 I7-1260P(16G+512G)锐炬XE触屏 演示机锦白,-,-,
2022款华为Matebook E Go GK-G56 (高通骁龙8cx Gen 2) 16+512全网通演示机星云灰,-,-,
优品二手机华为Mate20 6+128绿,檀木健发梳,-,
优品二手机华为Mate50Pro 8+256G紫,檀木健发梳,-,
2023款华为MateBookD14(MDG-16)Intel 13代  i5-1340P(16+512)Xe演示机皓月银,-,-,
优品二手机华为watch buds黑,檀木健发梳,-,
2023款华为Matebook E DRR-W76 I7-1260U 16+512演示机星云灰,-,-,
2023款华为MateBook 14S HKFG-16 I5-13500H(16G+1TG)13代酷睿 锐炬XE触屏 演示机深空灰,-,-,
2023款华为MateBook14(KLVG-16) i5-1340P(16+1T) 13代 锐炬Xe触屏 演示机深空灰,-,-,
2024款华为MateBookD16 MCLF-16 i5-12450H(16+512)UHD演示机皓月银,-,-,
2024款华为MateBook Xpro微绒典藏版VGHH-32 IntelUltra7 155H(i7-32G+1T)触屏 演示机晴蓝,-,-,
2024款华为MateBook Xpro微绒典藏版VGHH-32 IntelUltra7 155H(i7-32G+1T)触屏 演示机砚黑,-,-,
2024款华为MateBook14 FLMH-16 IntelUltra5 125H(16G+1T)触屏 演示机深空灰,-,-,
2024款华为MateBook14 FLMH-16 IntelUltra5 125H(16G+1T)触屏 演示机皓月银,-,-,
2024款华为MateBook14(FLMH-32) InteUltra5-125H(32+1T) 触屏演示机原野绿,-,-,
2024款华为MateBookXpro微绒典藏(VGHH-32)IntelUltra9 155H 32+2T 触屏演示机拂晓粉,-,-,
2024款华为MateBookD14(MDG-24)Intel 13代  i5-13420H(16+512)演示机皓月银,-,-,
2024款华为MateBookD14(MDG-24)Intel 13代  i5-13420H(16+512)演示机深空灰,-,-,
2024款华为MateBookGT14(ENZH-16) InteUltra5-125H(16+1T) 触屏演示机深空灰,-,-,
2024款华为MateBookGT14(ENZH-16) InteUltra5-125H(16+1T) 触屏演示机皓月银,-,-,
2025款华为MateBookD16 MCLG-16 i5-13420H(16+1T)UHD演示机皓月银,-,-,
Hi MateBook D16 NICG-16(Intel Iris Xe Intel i5-13500H Win11 16GB+1TB)演示机皓月银,-,-,
Hi MateBook D16 NICG-16(Intel Iris Xe Intel i5-13500H Win11 16GB+1TB)演示机深空灰,-,-,
Hi MateBook14 MASH-16 (Intel ARCGraUltra5 125H Win11 16GB+1TB)演示机深空灰,严选 Matebook14 钢化膜,-,
Hi MateBookD14 LYOI-16 (Intel Core5-210H Win11 16GB+1TB)演示机皓月银,-,-,
Hi MateBookD14 LYOI-16 (Intel Core5-210H Win11 16GB+1TB)演示机深空灰,-,-,
2025款华为MateBookPro 鸿蒙版HAD-W32 (32G+1T)触屏 演示机晴蓝,-,-,
2025款华为MateBookPro 鸿蒙版HAD-W32 (32G+1T)触屏 演示机宣白,-,-,
2024款华为MateBookD14(MDG-32)Intel 13代  i5-13420H(16+1T)演示机皓月银,-,-,
Hi MateBook14 MASC-24 (Intel ARCGraUltra5 225H Win11 24GB+1TB)演示机极夜灰,严选 Matebook14 钢化膜,-,
华为MatePad Edge14.2 (QXS-W10)24G+1T演示机深空灰,-,-,
华为Pocket2 LEM-AL00(12+256)演示机洛可可白,-,-,
华为Pocket2 LEM-AL00(12+256)演示机雅黑,-,-,
华为Pocket2 LEM-AL00(12+256)演示机大溪地灰,-,-,
华为Pocket2 LEM-AL00(12+256)演示机芋紫,-,-,
优品二手机华为MateX5 12+512黑,檀木健发梳,-,
优品二手机华为MateX5 16+512黑,檀木健发梳,-,
华为Pocket2 LEM-AL00(12+512)演示机大溪地灰,-,-,
华为mateX6 (ICL-AL10)12+512演示机曜石黑,-,-,
华为mateX6 (ICL-AL10)12+256演示机深海蓝,-,-,
华为mateX6 (ICL-AL10)12+256演示机星云白,-,-,
华为mateX6 (ICL-AL10)12+256演示机寰宇红,-,-,
华为mateX6 (ICL-AL10)12+256演示机星云灰,-,-,
华为PuraX VDE-AL00 (12+256) 演示机零度白,-,-,
华为PuraX VDE-AL00 (12+256) 演示机幻夜黑,-,-,
华为PuraX VDE-AL00 (12+256) 演示机月影灰,-,-,
华为PuraX VDE-AL10 (16+512典藏) 演示机型格绿,-,-,
华为PuraX VDE-AL10 (16+512典藏) 演示机型格红,-,-,
华为mateXTS 三折叠(GRL-AL20)16+512演示机槿紫,-,-,
华为mateXTS 三折叠(GRL-AL20)16+512演示机玄黑,-,-,
华为mateX7 (DEL-AL10)12+256演示机幻影紫,-,-,
华为mateX7 (DEL-AL10)12+256演示机寰宇红,-,-,
华为mateX7 (DEL-AL10)12+256演示机云锦白,-,-,
华为mateX7 (DEL-AL10)12+256演示机云锦蓝,-,-,
华为mateX7 (DEL-AL10)12+256演示机曜石黑,-,-,
华为MateView(HSN-CBA)28.2英寸显示屏演示样机皓月银,-,-,
华为(AD80HW)23.8英寸显示屏演示样机黑色,-,-,
华为MateStation B515(PUL-WDH9B)R5+8+256 4600G演示样机黑色,-,-,
华为MateView GT(XWU-CAA)27英寸SOUND版演示样机黑色,-,-,
华为MateView SE(SSN-24)23.8英寸演示机黑色,-,-,
华为WIKO Hi GT Cube显卡魔方演示机银色,-,-,
华为PixLab X1打印机(CV81-WDM)演示机白,檀木健发梳,-,
华为PixLab X1打印机(CV81-WDM)演示机,檀木健发梳,-,
华为PixLab X1Max打印机(CV81Z-WDMP)演示机灰色,-,-,
Hi畅享80（JLG-AN00)8+256演示机流光金,檀木健发梳,-,
Hi畅享80（JLG-AN00)8+256演示机珍珠白,檀木健发梳,-,
Hi畅享80S（JLG-AN00)8+256演示机曜石黑,檀木健发梳,-,
Hi畅享80S（JLG-AN00)8+256演示机晴空蓝,檀木健发梳,-,
Hi畅享80S（JLG-AN00)8+256演示机珍珠白,檀木健发梳,-,
麦芒40 5G(TYH651M)8+256演示机幻夜黑,檀木健发梳,-,
麦芒40 5G(TYH651M)8+256演示机冰川白,檀木健发梳,-,
Hi畅享80PRO(SHR-AN00)8+256演示机星空黑,檀木健发梳,-,
Hi畅享80PRO(SHR-AN00)8+256演示机晨光白,檀木健发梳,-,
Hi畅享80PRO(SHR-AN00)8+256演示机星海蓝,檀木健发梳,-,
华为WatchGT5Pro 46mm （VL1-B19)黑色氟橡胶表带演示机曜石黑,-,-,
华为WatchGT5Pro 46mm （VL1-B29)钛金属表带演示机钛空银,-,-,
华为WatchGT5Pro 42mm （VL1-B29)白色氟橡胶表带演示机冰川白,-,-,
华为WatchGT5Pro 42mm （VL1-B29)白色陶瓷表带演示机陶瓷白,-,-,
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机幻夜黑,-,-,
优品二手机华为MateX5 16+512青,檀木健发梳,-,
优品二手机华为MateX5 16+1T黑,檀木健发梳,-,
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机黑色,-,-,
优品二手机华为Pura70 12+512白,檀木健发梳,-,
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机白色,-,-,
优品二手机华为畅享10 plus 6+128橙,檀木健发梳,-,
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机晨曦金,-,-,
华为WatchD2(LCA-B11)腕部心电血压记录仪 演示机星云蓝,-,-,
华为儿童通话手表5X（ALA-AL10）演示机星云粉,-,-,
华为儿童通话手表5X（ALA-AL10）演示机星际蓝,-,-,
华为儿童通话手表5XPRO（AHP-AL10）演示机幻夜黑,-,-,
华为儿童通话手表5XPRO（AHP-AL10）演示机极光紫,-,-,
华为儿童通话手表5（KTY-L10） 演示机仲夏紫,-,-,
华为儿童通话手表5（KTY-L10） 演示机原野绿,-,-,
华为儿童通话手表5Pro（TGR-L10） 演示机冰晶蓝,-,-,
华为儿童通话手表5Pro（TGR-L10） 演示机冰晶粉,-,-,
华为儿童通话手表5Pro（TGR-L10）编织表带 演示机原野绿,-,-,
华为儿童通话手表5Pro（TGR-L10）编织表带 演示机仲夏紫,-,-,
华为Watch FIT3氟橡胶表带 (SLO-B19)演示机幻夜黑,-,-,
华为B7 运动版氟胶表带（FDS-B49）演示机曜金黑,-,-,
华为Watch FIT4氟橡胶表带 (SYA-B19)演示机韵律黑,-,-,
华为Watch FIT4氟橡胶表带 (SYA-B19)演示机韵律黑氟橡胶,-,-,
华为Watch FIT4氟橡胶表带 (SYA-B19)演示机悦动白,-,-,
华为Watch FIT4氟橡胶表带 (SYA-B19)演示机悦动白氟橡胶,-,-,
华为Watch FIT4氟橡胶表带 (SYA-B19)演示机风信紫氟橡胶,-,-,
华为Watch FIT4Pro氟橡胶表带 (SYA-B29)演示机曜石黑氟橡胶,-,-,
华为Watch FIT4Pro氟橡胶表带 (SYA-B29)演示机曜石黑,-,-,
华为Watch FIT4Pro氟橡胶表带 (SYA-B29)演示机海岛蓝氟橡胶,-,-,
华为Watch FIT4Pro氟橡胶表带 (SYA-B29)演示机海岛蓝,-,-,
华为Watch FIT4Pro 编织表带 (SYA-B29)演示机原野绿,-,-,
华为mate70(CLS-AL00)12+256演示机风信紫,-,-,
华为mate70(CLS-AL00)12+256演示机曜石黑,-,-,
华为mate70(CLS-AL00)12+256演示机雪域白,-,-,
华为mate70(CLS-AL00)12+256演示机曜金黑,-,-,
华为mate70(CLS-AL00)12+256演示机云杉绿,-,-,
华为mate70Pro(PLR-AL00)12+512演示机曜石黑,-,-,
华为mate70Pro(PLR-AL00)12+512演示机雪域白,-,-,
华为mate70Pro(PLR-AL00)12+512演示机云杉绿,-,-,
华为mate70Pro(PLR-AL00)12+512演示机风信紫,-,-,
华为mate70Pro+(PLA-AL10)16+512演示机羽衣白,-,-,
华为mate70Pro+(PLA-AL10)16+512演示机墨韵黑,-,-,
华为mate70Pro+(PLA-AL10)16+512演示机墨玉黑,-,-,
华为mate70Pro+(PLA-AL10)16+512演示机金丝银锦,-,-,
华为mate70Pro+(PLA-AL10)16+512演示机飞天青,-,-,
华为mate70RS非凡大师(PLU-AL10)16+512演示机瑞红,-,-,
华为mate70RS非凡大师(PLU-AL10)16+1T演示机瑞红,-,-,
华为mate70Air(SUP-AL90)12+256演示机曜金黑,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,
华为mate70Air(SUP-AL90)12+256演示机羽衣白,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,
华为mate70Air(SUP-AL90)12+256演示机金丝银锦,T品牌 华为 Mate 70 Air 盾3D高清钢化膜,-,
华为 Watch5 金星白  SOC-AL00 42mm白色素皮复合表带演示机白色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  RTS-AL00 46mm素皮复合表带演示机棕色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  RTS-AL00 46mm素皮复合表带演示机紫色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  RTS-AL00 46mm钛金属表带演示机钛金属,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5 幻夜黑 SOC-AL00 42mm黑色氟橡胶表带演示机深锖色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  RTS-AL00 46mm黑色氟橡胶表带演示机深锖色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5 星云杏 SOC-AL00 42mm杏色素皮复合表带演示机杏色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5 星云杏 SOC-AL00 42mm杏色素皮复合表带演示机烁金色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  SOC-AL00 42mm烁金色钛金属表带演示机烁金色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  SOC-AL00 42mm绿色氟橡胶表带演示机绿色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
华为 Watch5  RTS-AL00 46mm蓝色素皮复合表带演示机蓝色,优诺严选 华为Watch 5全屏丝印高清手表膜,-,
优品二手机华为Mate70RS 非凡大师 16+1T白,檀木健发梳,-,
华为Pura80Pro LMR-AL00 12+256 演示机釉金,-,-,
华为Pura80Pro LMR-AL00 12+256 演示机釉白,-,-,
华为Pura80Pro LMR-AL00 12+256 演示机釉黑,-,-,
华为Pura80Pro+ LMR-AL10 16+512 演示机釉白,-,-,
华为Pura80Pro+ LMR-AL10 16+512 演示机釉黑,-,-,
华为Pura80Pro+ LMR-AL10 16+512 演示机釉青,-,-,
华为Pura80Pro+ LMR-AL10 16+512 演示机釉红,-,-,
华为Pura80UlraLMR-AL10 16+512 演示机鎏光黑,-,-,
华为Pura80UlraLMR-AL10 16+512 演示机鎏光金,-,-,
华为Pura80UlraLMR-AL10 16+512 演示机流光金,-,-,
华为Pura80 HED-AL00 12+256 演示机丝绒金,-,-,
华为Pura80 HED-AL00 12+256 演示机丝绒黑,-,-,
华为Pura80 HED-AL00 12+256 演示机丝绒白,-,-,
华为Pura80 HED-AL00 12+256 演示机丝绒绿,-,-,
华为WatchGT6 46mm （ATM-B19）黑色氟橡胶表带演示机雅丹黑,优诺严选 华为 Watch GT6高清钢化手表膜,-,
华为WatchGT6Pro 46mm （ATM-B29）黑色氟橡胶表带演示机曜石黑,-,-,
华为WatchGT6 41mm （KSU-B19）紫色氟橡胶表带演示机流光紫,优诺严选 华为 Watch GT6高清钢化手表膜,-,
华为WatchGT6 41mm （KSU-B19）白色复合素皮表带演示机浮光白,优诺严选 华为 Watch GT6高清钢化手表膜,-,
